id,snapshot_date,snapshot_batch,source_table,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price,created_at
1,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",TPL.N0000,23601,2224,90.5767,27.78,23,13,2521,157.5,167.5,"2026-01-04 01:43:54"
2,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",YORK.N0000,6112,1075,82.4116,44.44,13,5,406,287.5,296.25,"2026-01-04 01:43:54"
3,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",DOCK.N0000,198456,48118,75.7538,-31.43,12,23,4300,332,337,"2026-01-04 01:43:54"
4,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",NTB.N0000,118341,49020,58.5773,43.48,33,13,5316,290,291.5,"2026-01-04 01:43:54"
5,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",HBS.N0000,844996,372406,55.9281,5.88,54,48,541275,11.5,12.3,"2026-01-04 01:43:54"
6,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",BBH.N0000,70331,32884,53.2439,-5.56,17,19,51150,24.1,25.6,"2026-01-04 01:43:54"
7,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",CLND.N0000,603196,290039,51.9163,7.32,22,19,71300,50,51.6,"2026-01-04 01:43:54"
8,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",DIAL.N0000,589892,299540,49.2212,-2.52,58,61,465910,28,28.9,"2026-01-04 01:43:54"
9,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",MDL.N0000,176809,90763,48.6661,-12,11,14,50006,22.2,22.7,"2026-01-04 01:43:54"
10,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",CINS.X0000,1083,650,39.9815,18.18,13,9,880,1830,1846,"2026-01-04 01:43:54"
11,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",CTC.N0000,3402,2062,39.3886,18.92,22,15,467,1685,1693,"2026-01-04 01:43:54"
12,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",NTB.X0000,887,560,36.8658,0,13,13,275,322,385,"2026-01-04 01:43:54"
13,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",SOY.N0000,3050,1943,36.2951,-36,8,17,3000,2300,2315,"2026-01-04 01:43:54"
14,2025-10-31,01,bid_vs_ask_2025_10_31_01,"2025-10-31 09:32:12",AMF.N0000,335383,237662,29.1371,29.73,24,13,5100,67.1,69.1,"2026-01-04 01:43:54"
