id,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price
1,"2026-01-05 12:10:24",NEH.N0000,1031,34,96.7000,-18.1800,9,13,1000,4000.000000,4200.750000
2,"2026-01-05 12:10:24",TPL.N0000,22525,4981,77.8900,12.8200,22,17,325,149.500000,149.750000
3,"2026-01-05 12:10:24",NTB.N0000,220873,53100,75.9600,-29.1700,17,31,5495,312.000000,312.000000
4,"2026-01-05 12:10:24",UDPL.N0000,9253,2687,70.9600,21.0500,23,15,1543,160.000000,164.000000
5,"2026-01-05 12:10:24",RGEM.N0000,11075,3325,69.9800,15.1500,19,14,1000,91.700000,92.500000
6,"2026-01-05 12:10:24",LION.N0000,6047,1855,69.3200,-16.6700,10,14,5000,1675.000000,1690.250000
7,"2026-01-05 12:10:24",CLND.N0000,432427,136941,68.3300,-18.1800,18,26,200010,47.000000,48.800000
8,"2026-01-05 12:10:24",ACL.N0000,1053560,334406,68.2600,28.0600,89,50,92817,101.000000,103.250000
9,"2026-01-05 12:10:24",LGIL.N0000,347253,115332,66.7900,13.3300,34,26,207000,7.500000,8.200000
10,"2026-01-05 12:10:24",CIT.N0000,7146,2576,63.9500,15.3800,15,11,205,469.000000,475.000000
11,"2026-01-05 12:10:24",SWAD.N0000,51,20,60.7800,52.9400,13,4,16,15000.000000,15600.000000
12,"2026-01-05 12:10:24",KAHA.N0000,51812,21254,58.9800,28.2100,25,14,8400,21.000000,21.000000
13,"2026-01-05 12:10:24",AUTO.N0000,6170,2599,57.8800,0.0000,16,16,182,205.250000,225.250000
14,"2026-01-05 12:10:24",LFIN.N0000,258323,120843,53.2200,38.1000,29,13,2000,153.250000,155.250000
15,"2026-01-05 12:10:24",ODEL.N0000,57381,27275,52.4700,-2.2200,22,23,20100,10.700000,11.000000
16,"2026-01-05 12:10:24",GREG.N0000,34220,16482,51.8400,21.0500,23,15,24117,150.000000,150.250000
17,"2026-01-05 12:10:24",KZOO.N0000,1048486,506547,51.6900,-17.5000,33,47,509995,11.200000,11.600000
18,"2026-01-05 12:10:24",NHL.N0000,451771,236891,47.5600,27.4700,58,33,81261,10.000000,10.600000
19,"2026-01-05 12:10:24",NAMU.N0000,14448,7632,47.1800,14.2900,16,12,1288,650.250000,674.000000
20,"2026-01-05 12:10:24",RCH.N0000,12138,6707,44.7400,3.4500,15,14,10000,230.000000,240.250000
21,"2026-01-05 12:10:24",CALT.N0000,836861,464423,44.5000,40.2200,129,55,100000,54.400000,54.400000
22,"2026-01-05 12:10:24",RENU.N0000,13328,8101,39.2200,0.0000,13,13,134,850.000000,865.500000
23,"2026-01-05 12:10:24",HASU.N0000,196103,119680,38.9700,-7.3200,19,22,5081,110.500000,110.750000
24,"2026-01-05 12:10:24",UML.N0000,53487,33303,37.7400,-25.4900,19,32,19857,330.000000,333.000000
25,"2026-01-05 12:10:24",MFPE.N0000,595683,374876,37.0700,-10.0000,54,66,185018,12.900000,13.100000
26,"2026-01-05 12:10:24",GHLL.N0000,328329,212200,35.3700,17.0700,48,34,191213,18.100000,18.600000
27,"2026-01-05 12:10:24",GUAR.N0000,51888,34844,32.8500,-9.6800,14,17,500,270.750000,274.000000
28,"2026-01-05 12:10:24",GLAS.N0000,86761,58659,32.3900,46.1500,38,14,30550,54.500000,54.600000
29,"2026-01-05 12:10:24",SEYB.N0000,75907,52234,31.1900,4.5500,23,21,6336,105.000000,105.500000
30,"2026-01-05 12:10:24",UCAR.N0000,491,346,29.5300,0.0000,12,12,50,1375.000000,1391.000000
31,"2026-01-05 12:10:24",VPEL.N0000,831261,598690,27.9800,47.6700,127,45,247313,14.800000,15.400000
32,"2026-01-05 12:10:24",CFIN.N0000,67124,49254,26.6200,45.1600,45,17,11175,270.000000,272.000000
33,"2026-01-05 12:10:24",MDL.N0000,260182,193490,25.6300,-6.9800,20,23,100300,19.000000,20.600000
34,"2026-01-05 12:10:24",BFN.N0000,12840,9591,25.3000,23.5300,21,13,5197,38.800000,39.200000
35,"2026-01-05 12:10:24",MASK.N0000,7819,5876,24.8500,33.3300,18,9,2218,81.000000,83.000000
36,"2026-01-05 12:10:24",JKH.N0000,5143484,3873238,24.7000,56.2700,411,115,1325752,20.800000,21.500000
37,"2026-01-05 12:10:24",TAFL.N0000,30493,23088,24.2800,-38.1000,13,29,1500,631.000000,638.000000
