id,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price
1,"2026-01-06 10:22:39",CINS.N0000,1726,122,92.9300,55.5600,14,4,1500,3000.250000,3104.000000
2,"2026-01-06 10:22:39",CWL.N0000,553775,55151,90.0400,-14.2900,15,20,19855,12.600000,13.200000
3,"2026-01-06 10:22:39",SLND.N0000,839,90,89.2700,13.0400,13,10,800,1510.000000,1601.000000
4,"2026-01-06 10:22:39",SHAW.N0000,20334,2986,85.3200,6.6700,16,14,16200,250.000000,251.000000
5,"2026-01-06 10:22:39",TPL.N0000,32433,6209,80.8600,13.5100,21,16,1000,145.750000,148.500000
6,"2026-01-06 10:22:39",NTB.N0000,225736,61427,72.7900,-13.5100,16,21,11144,310.000000,310.500000
7,"2026-01-06 10:22:39",LFIN.N0000,278692,83792,69.9300,28.5700,36,20,4107,156.000000,156.250000
8,"2026-01-06 10:22:39",CIT.N0000,6750,2617,61.2300,4.0000,13,12,100,469.750000,475.000000
9,"2026-01-06 10:22:39",NHL.N0000,446087,179699,59.7200,20.8800,55,36,84261,10.000000,10.600000
10,"2026-01-06 10:22:39",TJL.N0000,352384,147491,58.1400,79.0100,162,19,91311,34.000000,34.500000
11,"2026-01-06 10:22:39",UCAR.N0000,639,268,58.0600,-14.2900,12,16,57,1390.000000,1398.000000
12,"2026-01-06 10:22:39",CERA.N0000,8261,4355,47.2800,-10.3400,13,16,1000,165.250000,171.000000
13,"2026-01-06 10:22:39",LGIL.N0000,364709,206838,43.2900,21.3100,37,24,204000,7.500000,8.200000
14,"2026-01-06 10:22:39",UDPL.N0000,5749,3324,42.1800,15.1500,19,14,3000,164.250000,164.250000
15,"2026-01-06 10:22:39",REXP.N0000,11424,6654,41.7500,-11.7600,15,19,170,388.000000,395.000000
16,"2026-01-06 10:22:39",VPEL.N0000,948759,557153,41.2800,25.3700,84,50,398255,14.800000,15.600000
17,"2026-01-06 10:22:39",CFIN.N0000,59838,37468,37.3800,34.7800,31,15,1635,275.000000,275.000000
18,"2026-01-06 10:22:39",PARA.N0000,1242,785,36.8000,-11.1100,12,15,1000,154.000000,160.000000
19,"2026-01-06 10:22:39",TESS.N0000,4874336,3169607,34.9700,-5.4900,86,96,2721450,1.300000,1.400000
20,"2026-01-06 10:22:39",WATA.N0000,227692,151028,33.6700,5.8800,45,40,34671,48.000000,48.900000
21,"2026-01-06 10:22:39",HUNA.N0000,194603,129187,33.6200,11.1100,20,16,94000,19.700000,20.300000
22,"2026-01-06 10:22:39",GRAN.N0000,29019,19385,33.2000,15.1500,19,14,10000,431.250000,435.000000
23,"2026-01-06 10:22:39",MASK.N0000,6077,4360,28.2500,27.2700,14,8,2100,81.000000,83.500000
