id,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price
1,"2026-01-13 12:45:56",AUTO.N0000,5538,1010,81.7600,-13.0400,10,13,5000,201.250000,220.000000
2,"2026-01-13 12:45:56",LDEV.N0000,404194,76439,81.0900,60.0000,48,12,260250,21.600000,22.300000
3,"2026-01-13 12:45:56",HUNT.N0000,830,181,78.1900,15.3800,15,11,602,1200.000000,1365.000000
4,"2026-01-13 12:45:56",CWM.N0000,18723,6210,66.8300,11.4800,34,27,2700,165.250000,168.250000
5,"2026-01-13 12:45:56",MCPL.N0000,28203,11231,60.1800,20.0000,24,16,10000,54.100000,55.400000
6,"2026-01-13 12:45:56",WLTH.N0000,9238316,3873126,58.0800,38.2300,367,164,650015,16.000000,16.500000
7,"2026-01-13 12:45:56",BALA.N0000,81658,37143,54.5100,13.6400,25,19,2680,68.500000,69.800000
8,"2026-01-13 12:45:56",CINS.X0000,2700,1239,54.1100,20.0000,12,8,2465,1560.000000,1766.250000
9,"2026-01-13 12:45:56",CTEA.N0000,1733,825,52.3900,15.1500,19,14,1016,1201.500000,1202.500000
10,"2026-01-13 12:45:56",LAMB.N0000,566,283,50.0000,-29.4100,12,22,47,1450.000000,1453.000000
11,"2026-01-13 12:45:56",HARI.N0000,466,248,46.7800,-14.2900,12,16,11,5634.000000,5937.000000
12,"2026-01-13 12:45:56",GLAS.N0000,71520,41683,41.7200,49.0900,41,14,13325,54.500000,54.800000
13,"2026-01-13 12:45:56",SLND.N0000,136,83,38.9700,4.3500,12,11,58,1500.000000,1680.000000
14,"2026-01-13 12:45:56",TESS.N0000,7223463,4547733,37.0400,-19.2300,84,124,3078450,1.300000,1.500000
15,"2026-01-13 12:45:56",BUKI.N0000,1393,879,36.9000,11.1100,15,12,526,1020.500000,1040.250000
16,"2026-01-13 12:45:56",ACME.N0000,622251,392903,36.8600,17.6500,60,42,310527,6.000000,6.400000
17,"2026-01-13 12:45:56",KHL.N0000,267466,173580,35.1000,49.4500,68,23,74625,22.000000,22.300000
18,"2026-01-13 12:45:56",TPL.N0000,45571,30888,32.2200,31.7100,27,14,2200,144.750000,147.000000
19,"2026-01-13 12:45:56",DIAL.N0000,784867,555473,29.2300,0.0000,71,71,402417,31.000000,31.400000
20,"2026-01-13 12:45:56",JINS.N0000,81532,58140,28.6900,29.2700,53,29,38792,133.000000,136.000000
21,"2026-01-13 12:45:56",EML.N0000,5022556,3625999,27.8100,-28.0000,108,192,1116011,6.500000,6.600000
22,"2026-01-13 12:45:56",ODEL.N0000,56574,42334,25.1700,20.0000,30,20,10889,11.400000,11.600000
23,"2026-01-13 12:45:56",MADU.N0000,174526,130762,25.0800,30.0000,39,21,50010,11.000000,11.600000
24,"2026-01-13 12:45:56",HPFL.N0000,109028,82767,24.0900,-1.8200,27,28,36550,13.500000,13.900000
25,"2026-01-13 12:45:56",MDL.N0000,396962,302327,23.8400,7.6900,21,18,102750,21.000000,23.200000
26,"2026-01-13 12:45:56",AFS.N0000,226537,173534,23.4000,11.7600,19,15,101650,25.000000,27.600000
27,"2026-01-13 12:45:56",AMF.N0000,68100,53738,21.0900,19.2300,31,21,4043,68.100000,69.500000
