security,regime,signal_kmeans,score_x,model_x,score_y,signal_classifier,model_y,transformer_avg_score,transformer_last_score,buy_ratio,sell_ratio,hold_ratio,total_signals,transformer_momentum,signal_transformer,final_signal
RCH.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3056239028277644,SELL,classifier,0.3729711680308632,0.395935595035553,0.0,0.9565217391304348,0.0434782608695652,23,Bearish,SELL,🔻 SELL
GLAS.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3516217626942192,SELL,classifier,0.3429843977545247,0.3201599419116974,0.0,1.0,0.0,66,Bearish,SELL,🔻 SELL
BPPL.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3422264065203522,SELL,classifier,0.3392344839043087,0.32892507314682,0.0,1.0,0.0,45,Bearish,SELL,🔻 SELL
NTB.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.2846220946038865,SELL,classifier,0.3379311640651858,0.3364126086235046,0.0,0.979591836734694,0.0204081632653061,98,Bearish,SELL,🔻 SELL
PALM.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.4871121547067916,HOLD,classifier,0.3684894506420408,0.3328760266304016,0.0,1.0,0.0,14,Bearish,SELL,⚖️ HOLD
JAT.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3066684027158111,SELL,classifier,0.3412243776154099,0.3203128576278686,0.0,1.0,0.0,57,Bearish,SELL,🔻 SELL
AMF.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3373113142984827,SELL,classifier,0.3574730447820715,0.3386133909225464,0.0,1.0,0.0,74,Bearish,SELL,🔻 SELL
CALT.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.35032637755093,SELL,classifier,0.3300302042202516,0.3203007876873016,0.0,1.0,0.0,44,Bearish,SELL,🔻 SELL
SAMP.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3491403023196553,SELL,classifier,0.3301012581762145,0.3249900341033935,0.0,1.0,0.0,68,Bearish,SELL,🔻 SELL
LDEV.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3023115975095757,SELL,classifier,0.3470975252844038,0.370810866355896,0.0,1.0,0.0,42,Bearish,SELL,🔻 SELL
LGIL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3507666300056885,SELL,classifier,0.3484823986887931,0.3225870430469513,0.0,1.0,0.0,40,Bearish,SELL,🔻 SELL
KVAL.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3993704548183461,SELL,classifier,0.3415027135296872,0.3294370770454407,0.0,1.0,0.0,38,Bearish,SELL,🔻 SELL
TAP.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3299196740751005,SELL,classifier,0.3510269857943058,0.3414487540721893,0.0,1.0,0.0,32,Bearish,SELL,🔻 SELL
TSML.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3901058806041804,SELL,classifier,0.362472234101131,0.3307836055755615,0.0,1.0,0.0,29,Bearish,SELL,🔻 SELL
HSIG.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.2974699174579801,SELL,classifier,0.3649181479757482,0.3748171031475067,0.0,1.0,0.0,33,Bearish,SELL,🔻 SELL
COMB.X0000,🐳 Whale Accumulation,BUY,,kmeans,0.3086124225168578,SELL,classifier,0.3480671367474964,0.3309268057346344,0.0,0.9821428571428572,0.0178571428571428,56,Bearish,SELL,🔻 SELL
SIRA.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3758144034034051,SELL,classifier,0.354568437144563,0.3246288001537323,0.0,1.0,0.0,37,Bearish,SELL,🔻 SELL
CFVF.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3746931769275501,SELL,classifier,0.3422262980824425,0.3224158585071563,0.0,1.0,0.0,42,Bearish,SELL,🔻 SELL
KHL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.4601541859446401,HOLD,classifier,0.3373382795940746,0.3246413171291351,0.0,1.0,0.0,33,Bearish,SELL,⚖️ HOLD
HPL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.376547902916953,SELL,classifier,0.3351896751900108,0.3226516842842102,0.0,1.0,0.0,49,Bearish,SELL,🔻 SELL
ODEL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3576907258664883,SELL,classifier,0.3603212654590607,0.3723413348197937,0.0,0.925,0.075,40,Bearish,SELL,🔻 SELL
INME.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3741753871483523,SELL,classifier,0.3744048409991794,0.3861843347549438,0.0,0.9629629629629628,0.037037037037037,27,Bearish,SELL,🔻 SELL
CSLK.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3258792123221048,SELL,classifier,0.3572721431652705,0.3253897130489349,0.0,1.0,0.0,30,Bearish,SELL,🔻 SELL
TJL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3198910984992826,SELL,classifier,0.3274483559436576,0.3349340558052063,0.0,0.9883720930232558,0.0116279069767441,86,Bearish,SELL,🔻 SELL
SEMB.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.0658697704055705,SELL,classifier,0.0342208021216922,0.0373970046639442,0.0,1.0,0.0,45,Bearish,SELL,🔻 SELL
RHTL.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3357114629085974,SELL,classifier,0.3804863054176857,0.3713274896144867,0.0,0.9310344827586208,0.0689655172413793,29,Bearish,SELL,🔻 SELL
RPBH.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3914757516208195,SELL,classifier,0.3560107361811858,0.3381758630275726,0.0,1.0,0.0,52,Bearish,SELL,🔻 SELL
RWSL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3683654998915605,SELL,classifier,0.3581246163915185,0.3261284828186035,0.0,0.9411764705882352,0.0588235294117647,34,Bearish,SELL,🔻 SELL
CIND.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.2977509458355874,SELL,classifier,0.3684161042465883,0.3422988355159759,0.0,0.9411764705882352,0.0588235294117647,34,Bearish,SELL,🔻 SELL
NHL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3091982893062659,SELL,classifier,0.344708945543047,0.3332815766334533,0.0,1.0,0.0,63,Bearish,SELL,🔻 SELL
GRAN.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3812368009100734,SELL,classifier,0.3648428938737729,0.3467371165752411,0.0,0.926829268292683,0.073170731707317,41,Bearish,SELL,🔻 SELL
MELS.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3344362083172009,SELL,classifier,0.345487798515119,0.3275782465934753,0.0,1.0,0.0,38,Bearish,SELL,🔻 SELL
BRWN.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.2765605193226079,SELL,classifier,0.3571105414145701,0.3311120271682739,0.0,1.0,0.0,37,Bearish,SELL,🔻 SELL
TESS.X0000,🚀 Retail Momentum,HOLD,,kmeans,0.3091306389069485,SELL,classifier,0.3304763359901232,0.3641349375247955,0.0,1.0,0.0,39,Bearish,SELL,🔻 SELL
CABO.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3880984862923463,SELL,classifier,0.3800459563732147,0.3543219566345215,0.0,0.85,0.15,20,Bearish,SELL,🔻 SELL
HAYC.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3238064483458812,SELL,classifier,0.3632257772343499,0.3233265280723572,0.0,1.0,0.0,42,Bearish,SELL,🔻 SELL
PABC.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3751186334520319,SELL,classifier,0.3387646206787654,0.3229856193065643,0.0,1.0,0.0,56,Bearish,SELL,🔻 SELL
FCT.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3320924354608615,SELL,classifier,0.3377431958494052,0.3289926946163177,0.0,1.0,0.0,71,Bearish,SELL,🔻 SELL
BUKI.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3514076996951836,SELL,classifier,0.3552539239327112,0.3265664577484131,0.0,1.0,0.0,30,Bearish,SELL,🔻 SELL
WATA.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3121707664916797,SELL,classifier,0.3414659961577385,0.3492081761360168,0.0,1.0,0.0,62,Bearish,SELL,🔻 SELL
SEYB.X0000,🚀 Retail Momentum,HOLD,,kmeans,0.3019091574700017,SELL,classifier,0.3624253531297048,0.334072470664978,0.0,1.0,0.0,45,Bearish,SELL,🔻 SELL
HAPU.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.2935713985308201,SELL,classifier,0.3674657608454044,0.3592396378517151,0.0,0.9615384615384616,0.0384615384615384,26,Bearish,SELL,🔻 SELL
CWL.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3146323520694366,SELL,classifier,0.3695276833715893,0.3913736045360565,0.0,0.9047619047619048,0.0952380952380952,42,Bearish,SELL,🔻 SELL
SEMB.X0000,🚀 Retail Momentum,HOLD,,kmeans,0.0722093035579482,SELL,classifier,0.0334400562851718,0.0350555628538131,0.0,1.0,0.0,33,Bearish,SELL,🔻 SELL
CALH.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3162820018455725,SELL,classifier,0.3440707069635391,0.3244926631450653,0.0,1.0,0.0,50,Bearish,SELL,🔻 SELL
JKH.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3327842249838439,SELL,classifier,0.3094919276864905,0.3137431442737579,0.0,1.0,0.0,76,Bearish,SELL,🔻 SELL
BIL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3257817687191262,SELL,classifier,0.1257516290690447,0.2473547160625457,0.0,1.0,0.0,37,Bearish,SELL,🔻 SELL
AGPL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3634721449926946,SELL,classifier,0.3520233497023582,0.3322053253650665,0.0,0.95,0.05,40,Bearish,SELL,🔻 SELL
HPFL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.341448382127653,SELL,classifier,0.3533399018148581,0.3256160318851471,0.0,0.9583333333333334,0.0416666666666666,48,Bearish,SELL,🔻 SELL
CINV.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3357701236842449,SELL,classifier,0.3637537598609924,0.3253342509269714,0.0,0.95,0.05,40,Bearish,SELL,🔻 SELL
SINH.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3215560120035274,SELL,classifier,0.3784429930871533,0.3845334947109222,0.0,1.0,0.0,31,Bearish,SELL,🔻 SELL
RENU.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3980547791389162,SELL,classifier,0.3733499179015288,0.3786059319972992,0.0,0.945945945945946,0.054054054054054,37,Bearish,SELL,🔻 SELL
CWM.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3465987622911762,SELL,classifier,0.3602700098639443,0.3813232481479645,0.0,0.9761904761904762,0.0238095238095238,42,Bearish,SELL,🔻 SELL
SFIN.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3415972740339327,SELL,classifier,0.3640852993310884,0.3354046046733856,0.0,0.9534883720930232,0.0465116279069767,43,Bearish,SELL,🔻 SELL
AFSL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3654268839079453,SELL,classifier,0.3611278896530469,0.3482681512832641,0.0,0.9833333333333332,0.0166666666666666,60,Bearish,SELL,🔻 SELL
CINS.X0000,🐳 Whale Accumulation,BUY,,kmeans,0.3634390450480908,SELL,classifier,0.3520475804805755,0.3367959260940552,0.0,1.0,0.0,30,Bearish,SELL,🔻 SELL
LOLC.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.4077382551185235,HOLD,classifier,0.3652758719969768,0.3360086977481842,0.0,0.9183673469387756,0.0816326530612244,49,Bearish,SELL,⚖️ HOLD
TAFL.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3566375404091496,SELL,classifier,0.3652873994274573,0.3308781385421753,0.0,0.9545454545454546,0.0454545454545454,44,Bearish,SELL,🔻 SELL
COMB.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.2695093434772559,SELL,classifier,0.3422692501544952,0.3305370211601257,0.0,1.0,0.0,50,Bearish,SELL,🔻 SELL
AHUN.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3117150572141774,SELL,classifier,0.3527499109001483,0.3204469978809356,0.0,1.0,0.0,59,Bearish,SELL,🔻 SELL
VLL.X0000,🐳 Whale Accumulation,BUY,,kmeans,0.4487564918468106,HOLD,classifier,0.3537707596253126,0.3234297931194305,0.0,1.0,0.0,39,Bearish,SELL,⚖️ HOLD
CTC.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.4533995845900584,HOLD,classifier,0.3585137615078373,0.3262025713920593,0.0,0.9473684210526316,0.0526315789473684,38,Bearish,SELL,⚖️ HOLD
UDPL.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.430686125342847,HOLD,classifier,0.3625871901001249,0.3250220417976379,0.0,1.0,0.0,28,Bearish,SELL,⚖️ HOLD
CDB.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3333516280278368,SELL,classifier,0.3667888226253645,0.3505527377128601,0.0,1.0,0.0,28,Bearish,SELL,🔻 SELL
MRH.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.416340202756578,HOLD,classifier,0.3585740108239023,0.3313739895820617,0.0,1.0,0.0,19,Bearish,SELL,⚖️ HOLD
HBS.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3565307369098159,SELL,classifier,0.3568733783511372,0.3787378966808319,0.0,0.974025974025974,0.0259740259740259,77,Bearish,SELL,🔻 SELL
CONN.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.4263216796388436,HOLD,classifier,0.3699008598923683,0.3418244421482086,0.0,0.9722222222222222,0.0277777777777777,36,Bearish,SELL,⚖️ HOLD
LUMX.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3434792044819935,SELL,classifier,0.3681947685057117,0.3516025841236114,0.0,1.0,0.0,31,Bearish,SELL,🔻 SELL
MDL.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.4084243545721755,HOLD,classifier,0.373328244402295,0.3985002636909485,0.0,0.9523809523809524,0.0476190476190476,42,Bearish,SELL,⚖️ HOLD
CARS.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.4906857476062636,HOLD,classifier,0.3587369369342923,0.3267754912376404,0.0,1.0,0.0,32,Bearish,SELL,⚖️ HOLD
SPEN.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3758599278655253,SELL,classifier,0.3577881837263703,0.3651818037033081,0.0,1.0,0.0,32,Bearish,SELL,🔻 SELL
CFIN.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3794406749227985,SELL,classifier,0.340110462736076,0.365704596042633,0.0,1.0,0.0,71,Bearish,SELL,🔻 SELL
ALLI.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.4570450605495044,HOLD,classifier,0.3615306638754331,0.3340343832969665,0.0,1.0,0.0,39,Bearish,SELL,⚖️ HOLD
HHL.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.4328269740996624,HOLD,classifier,0.3303050339221954,0.3228338062763214,0.0,1.0,0.0,75,Bearish,SELL,⚖️ HOLD
HNB.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.4508611489178363,HOLD,classifier,0.3490753249445958,0.3258066773414612,0.0,1.0,0.0,67,Bearish,SELL,⚖️ HOLD
HDFC.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3999990562845829,SELL,classifier,0.3575104508135054,0.3446468710899353,0.0,1.0,0.0,36,Bearish,SELL,🔻 SELL
REEF.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.2453394889524441,SELL,classifier,0.3350472262612096,0.3336424529552459,0.0,1.0,0.0,27,Bearish,SELL,🔻 SELL
ASPH.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.0766841372002656,SELL,classifier,0.0334800641904486,0.0331157520413398,0.0,1.0,0.0,47,Bearish,SELL,🔻 SELL
VONE.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3980777420839956,SELL,classifier,0.3651734946502579,0.3241133987903595,0.0,1.0,0.0,36,Bearish,SELL,🔻 SELL
ETWO.N0000,🚀 Retail Momentum,HOLD,,kmeans,0.3953647202583265,SELL,classifier,0.3750337287783623,0.3738355338573456,0.0,1.0,0.0,20,Bearish,SELL,🔻 SELL
