security,score,signal,model
TPL.N0000,0.35185276740301447,🔻 SELL / WAIT,classifier
YORK.N0000,0.7291707406851119,🚀 BUY,classifier
DOCK.N0000,0.23892721064465738,🔻 SELL / WAIT,classifier
NTB.N0000,0.3394343083422158,🔻 SELL / WAIT,classifier
HBS.N0000,0.24748453483241717,🔻 SELL / WAIT,classifier
BBH.N0000,0.33876457032063123,🔻 SELL / WAIT,classifier
CLND.N0000,0.30543657827931203,🔻 SELL / WAIT,classifier
DIAL.N0000,0.3077832606129741,🔻 SELL / WAIT,classifier
MDL.N0000,0.3464076551852521,🔻 SELL / WAIT,classifier
CINS.X0000,0.3727263747845527,🔻 SELL / WAIT,classifier
CTC.N0000,0.369857798368808,🔻 SELL / WAIT,classifier
NTB.X0000,0.31106863681356944,🔻 SELL / WAIT,classifier
SOY.N0000,0.3689291162668649,🔻 SELL / WAIT,classifier
AMF.N0000,0.3499283871976695,🔻 SELL / WAIT,classifier
COOP.N0000,0.27778094082012533,🔻 SELL / WAIT,classifier
JKH.N0000,0.7791468669148595,🚀 BUY,classifier
TJL.N0000,0.4591940176570717,⚖️ HOLD,classifier
FCT.N0000,0.3542030227321341,🔻 SELL / WAIT,classifier
HNB.X0000,0.341794809892144,🔻 SELL / WAIT,classifier
CALT.N0000,0.3544631007326555,🔻 SELL / WAIT,classifier
COMB.X0000,0.3503352006967783,🔻 SELL / WAIT,classifier
ONAL.N0000,0.31763836443623633,🔻 SELL / WAIT,classifier
CIND.N0000,0.3006683603705298,🔻 SELL / WAIT,classifier
HHL.N0000,0.3824121174926525,🔻 SELL / WAIT,classifier
GRAN.N0000,0.2786412620108647,🔻 SELL / WAIT,classifier
ODEL.N0000,0.3355396796544143,🔻 SELL / WAIT,classifier
CFVF.N0000,0.36226514887,🔻 SELL / WAIT,classifier
PLR.N0000,0.42878629722547323,⚖️ HOLD,classifier
HNB.N0000,0.42459721968049324,⚖️ HOLD,classifier
MGT.N0000,0.3932301686420598,🔻 SELL / WAIT,classifier
EXT.N0000,0.2913695963868071,🔻 SELL / WAIT,classifier
ACME.N0000,0.3371282911914815,🔻 SELL / WAIT,classifier
ATL.N0000,0.3622482952168394,🔻 SELL / WAIT,classifier
