security,recorded_at,score,signal,model
AUTO.N0000,2026-01-02 17:33:24,0.3143408000469208,SELL,transformer
BPPL.N0000,2026-01-02 17:33:24,0.3251994252204895,SELL,transformer
CALT.N0000,2026-01-02 17:33:24,0.3188546597957611,SELL,transformer
CERA.N0000,2026-01-02 17:33:24,0.34648269414901733,SELL,transformer
CFI.N0000,2026-01-02 17:33:24,0.32442185282707214,SELL,transformer
CFIN.N0000,2026-01-02 17:33:24,0.31736892461776733,SELL,transformer
CHL.N0000,2026-01-02 17:33:24,0.30996373295783997,SELL,transformer
CHOT.N0000,2026-01-02 17:33:24,0.33319827914237976,SELL,transformer
CIC.X0000,2026-01-02 17:33:24,0.3244419991970062,SELL,transformer
CIT.N0000,2026-01-02 17:33:24,0.3133406341075897,SELL,transformer
COLO.N0000,2026-01-02 17:33:24,0.35855886340141296,SELL,transformer
COMB.N0000,2026-01-02 17:33:24,0.32477521896362305,SELL,transformer
COOP.N0000,2026-01-02 17:33:24,0.21984781324863434,SELL,transformer
CPRT.N0000,2026-01-02 17:33:24,0.31032705307006836,SELL,transformer
CTBL.N0000,2026-01-02 17:33:24,0.31703534722328186,SELL,transformer
CTLD.N0000,2026-01-02 17:33:24,0.31389257311820984,SELL,transformer
DFCC.N0000,2026-01-02 17:33:24,0.3090324401855469,SELL,transformer
DIMO.N0000,2026-01-02 17:33:24,0.3384571075439453,SELL,transformer
DIST.N0000,2026-01-02 17:33:24,0.3190087378025055,SELL,transformer
EAST.N0000,2026-01-02 17:33:24,0.31904467940330505,SELL,transformer
EBCR.N0000,2026-01-02 17:33:24,0.3564349114894867,SELL,transformer
ELPL.N0000,2026-01-02 17:33:24,0.3298731744289398,SELL,transformer
EMER.N0000,2026-01-02 17:33:24,0.32409870624542236,SELL,transformer
GLAS.N0000,2026-01-02 17:33:24,0.3239262104034424,SELL,transformer
HARI.N0000,2026-01-02 17:33:24,0.3300169110298157,SELL,transformer
HASU.N0000,2026-01-02 17:33:24,0.30703455209732056,SELL,transformer
HBS.N0000,2026-01-02 17:33:24,0.31234803795814514,SELL,transformer
HUNA.N0000,2026-01-02 17:33:24,0.3085300922393799,SELL,transformer
JINS.N0000,2026-01-02 17:33:24,0.3371800482273102,SELL,transformer
JKH.N0000,2026-01-02 17:33:24,0.3181457817554474,SELL,transformer
JKL.N0000,2026-01-02 17:33:24,0.29662251472473145,SELL,transformer
KAHA.N0000,2026-01-02 17:33:24,0.2986702024936676,SELL,transformer
KCAB.N0000,2026-01-02 17:33:24,0.290852814912796,SELL,transformer
LCBF.N0000,2026-01-02 17:33:24,0.2760756015777588,SELL,transformer
LFIN.N0000,2026-01-02 17:33:24,0.2991492450237274,SELL,transformer
LGIL.N0000,2026-01-02 17:33:24,0.29620885848999023,SELL,transformer
LGL.N0000,2026-01-02 17:33:24,0.3291051685810089,SELL,transformer
LHCL.N0000,2026-01-02 17:33:24,0.3215673863887787,SELL,transformer
LIOC.N0000,2026-01-02 17:33:24,0.30520111322402954,SELL,transformer
LION.N0000,2026-01-02 17:33:24,0.2946021556854248,SELL,transformer
LMF.N0000,2026-01-02 17:33:24,0.3637918531894684,SELL,transformer
LVEF.N0000,2026-01-02 17:33:24,0.30197960138320923,SELL,transformer
LVEN.N0000,2026-01-02 17:33:24,0.3469438850879669,SELL,transformer
MADU.N0000,2026-01-02 17:33:24,0.3227488696575165,SELL,transformer
MASK.N0000,2026-01-02 17:33:24,0.32643812894821167,SELL,transformer
MFPE.N0000,2026-01-02 17:33:24,0.3305452764034271,SELL,transformer
MULL.N0000,2026-01-02 17:33:24,0.3120213449001312,SELL,transformer
NAMU.N0000,2026-01-02 17:33:24,0.30319318175315857,SELL,transformer
NHL.N0000,2026-01-02 17:33:24,0.3204067051410675,SELL,transformer
NTB.N0000,2026-01-02 17:33:24,0.3014582395553589,SELL,transformer
ODEL.N0000,2026-01-02 17:33:24,0.3602405786514282,SELL,transformer
ONAL.N0000,2026-01-02 17:33:24,0.29345929622650146,SELL,transformer
PABC.N0000,2026-01-02 17:33:24,0.3007333278656006,SELL,transformer
RFL.N0000,2026-01-02 17:33:24,0.30702248215675354,SELL,transformer
RPBH.N0000,2026-01-02 17:33:24,0.3345567584037781,SELL,transformer
SEMB.N0000,2026-01-02 17:33:24,0.0730375349521637,SELL,transformer
SHAW.N0000,2026-01-02 17:33:24,0.2975316345691681,SELL,transformer
SIGV.N0000,2026-01-02 17:33:24,0.3072999119758606,SELL,transformer
SUN.N0000,2026-01-02 17:33:24,0.3064988851547241,SELL,transformer
SWAD.N0000,2026-01-02 17:33:24,0.31117549538612366,SELL,transformer
TAFL.N0000,2026-01-02 17:33:24,0.35064008831977844,SELL,transformer
TAJ.N0000,2026-01-02 17:33:24,0.33127787709236145,SELL,transformer
TANG.N0000,2026-01-02 17:33:24,0.3265254497528076,SELL,transformer
TKYO.N0000,2026-01-02 17:33:24,0.32645487785339355,SELL,transformer
VLL.X0000,2026-01-02 17:33:24,0.33113664388656616,SELL,transformer
VPEL.N0000,2026-01-02 17:33:24,0.312137246131897,SELL,transformer
WATA.N0000,2026-01-02 17:33:24,0.3134734630584717,SELL,transformer
WIND.N0000,2026-01-02 17:33:24,0.3045690953731537,SELL,transformer
